 EQUATION NUMBER
 ---------------------
     node   dof    eqn
    542      2   1544
    542      3   1545
    543      1   1546
    543      2   1547
    543      3   1548
    544      1   1549
    544      2   1550
    544      3   1551
    545      1   1552
    545      2   1553
    545      3   1554
    546      1   1555
    546      2   1556
    546      3   1557
    547      1   1558
    547      2   1559
    547      3   1560
    548      1   1561
    548      2   1562
    548      3   1563
    549      1   1564
    549      2   1565
    549      3   1566
    550      1   1567
    550      2   1568
    550      3   1569
    551      1   1570
    551      2   1571
    551      3   1572
    552      1   1573
    552      2   1574
    552      3   1575
    553      1   1576
    553      2   1577
    553      3   1578
    554      1   1579
    554      2   1580
    554      3   1581
    555      1   1582
    555      2   1583
    555      3   1584
    556      1   1585
    556      2   1586
    556      3   1587
    557      1   1588
    557      2   1589
    557      3   1590
    558      1   1591
    558      2   1592
    558      3   1593
    559      1   1594
    559      2   1595
    559      3   1596
    560      1   1597
    560      2   1598
    560      3   1599
    561      1   1600
    561      2   1601
    561      3   1602
    562      1   1603
    562      2   1604
    562      3   1605
    563      1   1606
    563      2   1607
    563      3   1608
    564      1   1609
    564      2   1610
    564      3   1611
    565      1   1612
    565      2   1613
    565      3   1614
    566      1   1615
    566      2   1616
    566      3   1617
    567      1   1618
    567      2   1619
    567      3   1620
    568      1   1621
    568      2   1622
    568      3   1623
    569      1   1624
    569      2   1625
    569      3   1626
    570      1   1627
    570      2   1628
    570      3   1629
    571      1   1630
    571      2   1631
    571      3   1632
    572      1   1633
    572      2   1634
    572      3   1635
    573      1   1636
    573      2   1637
    573      3   1638
    574      1   1639
    574      2   1640
    574      3   1641
    575      1   1642
    575      2   1643
    575      3   1644
    576      1   1645
    576      2   1646
    576      3   1647
    577      1   1648
    577      2   1649
    577      3   1650
    578      1   1651
    578      2   1652
    578      3   1653
    579      1   1654
    579      2   1655
    579      3   1656
    580      1   1657
    580      2   1658
    580      3   1659
    581      1   1660
    581      2   1661
    581      3   1662
    582      1   1663
    582      2   1664
    582      3   1665
    583      1   1666
    583      2   1667
    583      3   1668
    584      1   1669
    584      2   1670
    584      3   1671
    585      1   1672
    585      2   1673
    585      3   1674
    586      1   1675
    586      2   1676
    586      3   1677
    587      1   1678
    587      2   1679
    587      3   1680
    588      1   1681
    588      2   1682
    588      3   1683
    589      1   1684
    589      2   1685
    589      3   1686
    590      1   1687
    590      2   1688
    590      3   1689
    591      1   1690
    591      2   1691
    591      3   1692
    592      1   1693
    592      2   1694
    592      3   1695
    593      1   1696
    593      2   1697
    593      3   1698
    594      1   1699
    594      2   1700
    594      3   1701
    595      1   1702
    595      2   1703
    595      3   1704
    596      1   1705
    596      2   1706
    596      3   1707
    597      1   1708
    597      2   1709
    597      3   1710
    598      1   1711
    598      2   1712
    598      3   1713
    599      1   1714
    599      2   1715
    599      3   1716
    600      1   1717
    600      2   1718
    600      3   1719
    601      1   1720
    601      2   1721
    601      3   1722
    602      1   1723
    602      2   1724
    602      3   1725
    603      1   1726
    603      2   1727
    603      3   1728
    604      1   1729
    604      2   1730
    604      3   1731
    605      1   1732
    605      2   1733
    605      3   1734
    606      1   1735
    606      2   1736
    606      3   1737
    607      1   1738
    607      2   1739
    607      3   1740
    608      1   1741
    608      2   1742
    608      3   1743
    609      1   1744
    609      2   1745
    609      3   1746
    610      1   1747
    610      2   1748
    610      3   1749
    611      1   1750
    611      2   1751
    611      3   1752
    612      1   1753
    612      2   1754
    612      3   1755
    613      1   1756
    613      2   1757
    613      3   1758
    614      1   1759
    614      2   1760
    614      3   1761
    615      1   1762
    615      2   1763
    615      3   1764
    616      1   1765
    616      2   1766
    616      3   1767
    617      1   1768
    617      2   1769
    617      3   1770
    618      1   1771
    618      2   1772
    618      3   1773
    619      1   1774
    619      2   1775
    619      3   1776
    620      1   1777
    620      2   1778
    620      3   1779
    621      1   1780
    621      2   1781
    621      3   1782
    622      1   1783
    622      2   1784
    622      3   1785
    623      1   1786
    623      2   1787
    623      3   1788
    624      1   1789
    624      2   1790
    624      3   1791
    625      1   1792
    625      2   1793
    625      3   1794
    626      1   1795
    626      2   1796
    626      3   1797
    627      1   1798
    627      2   1799
    627      3   1800
    628      1   1801
    628      2   1802
    628      3   1803
    629      1   1804
    629      2   1805
    629      3   1806
    630      1   1807
    630      2   1808
    630      3   1809
    631      1   1810
    631      2   1811
    631      3   1812
    632      1   1813
    632      2   1814
    632      3   1815
    633      1   1816
    633      2   1817
    633      3   1818
    634      1   1819
    634      2   1820
    634      3   1821
    635      1   1822
    635      2   1823
    635      3   1824
    636      1   1825
    636      2   1826
    636      3   1827
    637      1   1828
    637      2   1829
    637      3   1830
    638      1   1831
    638      2   1832
    638      3   1833
    639      1   1834
    639      2   1835
    639      3   1836
    640      1   1837
    640      2   1838
    640      3   1839
    641      1   1840
    641      2   1841
    641      3   1842
    642      1   1843
    642      2   1844
    642      3   1845
    643      1   1846
    643      2   1847
    643      3   1848
    644      1   1849
    644      2   1850
    644      3   1851
    645      1   1852
    645      2   1853
    645      3   1854
    646      1   1855
    646      2   1856
    646      3   1857
    647      1   1858
    647      2   1859
    647      3   1860
